"type","group","mouse.id","time","total.iga","mper.iga","id"
"cecal","WT",1,10,NA,NA,"185"
"cecal","WT",2,10,NA,NA,"190"
"cecal","WT",3,10,NA,NA,"188"
"cecal","WT",4,10,NA,NA,"36"
"cecal","WT",5,10,NA,NA,"204"
"cecal","WT",6,10,NA,NA,"38"
"cecal","MPER",1,10,NA,NA,"205"
"cecal","MPER",2,10,NA,NA,"211"
"cecal","MPER",3,10,NA,NA,"195"
"cecal","MPER",4,10,NA,NA,"194"
"cecal","MPER",5,10,NA,NA,"37"
"cecal","MPER",6,10,NA,NA,"187"
"cecal","FliC",1,10,NA,NA,"193"
"cecal","FliC",2,10,NA,NA,"184"
"cecal","FliC",3,10,NA,NA,"202"
"cecal","FliC",4,10,NA,NA,"199"
"cecal","FliC",5,10,NA,NA,"212"
"cecal","FliC",6,10,NA,NA,"210"
"cecal","IL1b",1,10,NA,NA,"200"
"cecal","IL1b",2,10,NA,NA,"189"
"cecal","IL1b",3,10,NA,NA,"183"
"cecal","IL1b",4,10,NA,NA,"196"
"cecal","IL1b",5,10,NA,NA,"201"
"cecal","IL1b",6,10,NA,NA,"192"
"cecal","RB",1,12,NA,NA,"213"
"cecal","RB",2,12,NA,NA,"207"
"cecal","RB",4,12,NA,NA,"186"
"cecal","RB",5,12,NA,NA,"197"
"cecal","NG",1,10,NA,NA,"214"
"cecal","NG",2,10,NA,NA,"208"
"cecal","NG",3,10,NA,NA,"203"
"cecal","NG",4,10,NA,NA,"191"
"cecal","NG",5,10,NA,NA,"198"
"cecal","NG",6,10,NA,NA,"209"
"fecal","WT",1,0,5.95,NA,"110"
"fecal","WT",1,2,11.04,0,"54"
"fecal","WT",1,4,17.05,10,"112"
"fecal","WT",1,6,17.52,0,"240"
"fecal","WT",1,8,21.11,0,"224"
"fecal","WT",1,10,13.17,0,"230"
"fecal","WT",2,0,12.68,NA,"129"
"fecal","WT",2,2,16,0,"259"
"fecal","WT",2,4,17.59,0,"249"
"fecal","WT",2,6,15.31,0,"150"
"fecal","WT",2,8,19.29,0,"235"
"fecal","WT",2,10,19.31,0,"93"
"fecal","WT",3,0,9.32,NA,"258"
"fecal","WT",3,2,8.71,0,"243"
"fecal","WT",3,4,12.85,0,"255"
"fecal","WT",3,6,19.85,0,"234"
"fecal","WT",3,8,11.02,0,"65"
"fecal","WT",3,10,14.58,0,"245"
"fecal","WT",4,0,10.74,NA,"15"
"fecal","WT",4,2,15.34,0,"50"
"fecal","WT",4,4,6.8,0,"229"
"fecal","WT",4,6,18.21,0,"22"
"fecal","WT",4,8,13,0,"130"
"fecal","WT",4,10,1.74,0,"218"
"fecal","WT",5,0,5.9,NA,"10"
"fecal","WT",5,2,14.62,0,"51"
"fecal","WT",5,6,12.32,0,"23"
"fecal","WT",5,8,13.28,0,"72"
"fecal","WT",5,10,17.61,0,"117"
"fecal","WT",6,0,5.39,NA,"29"
"fecal","WT",6,2,7.89,0,"47"
"fecal","WT",6,4,14.35,0,"109"
"fecal","WT",6,6,14.18,0,"35"
"fecal","WT",6,8,18.63,0,"172"
"fecal","WT",6,10,4.56,0,"241"
"fecal","MPER",1,0,13.64,NA,"57"
"fecal","MPER",1,4,8.58,10,"276"
"fecal","MPER",1,6,19.17,10,"113"
"fecal","MPER",1,8,12.7,10,"87"
"fecal","MPER",1,10,14.6,40,"175"
"fecal","MPER",2,0,18.04,NA,"153"
"fecal","MPER",2,2,14.87,0,"58"
"fecal","MPER",2,4,12.29,0,"111"
"fecal","MPER",2,6,20.32,10,"76"
"fecal","MPER",2,8,10.1,20,"148"
"fecal","MPER",2,10,8.79,0,"116"
"fecal","MPER",3,0,13.58,NA,"161"
"fecal","MPER",3,2,5.32,0,"56"
"fecal","MPER",3,4,12.51,0,"159"
"fecal","MPER",3,6,20.43,20,"142"
"fecal","MPER",3,8,18.91,0,"114"
"fecal","MPER",3,10,20.6,0,"126"
"fecal","MPER",4,0,10.31,NA,"26"
"fecal","MPER",4,2,12.31,0,"39"
"fecal","MPER",4,4,7.49,0,"122"
"fecal","MPER",4,6,12.98,0,"28"
"fecal","MPER",4,8,20.51,0,"119"
"fecal","MPER",4,10,11.41,0,"77"
"fecal","MPER",5,0,11.41,NA,"6"
"fecal","MPER",5,2,9.41,0,"52"
"fecal","MPER",5,6,18.91,0,"20"
"fecal","MPER",5,10,19.64,0,"97"
"fecal","MPER",6,0,16.95,NA,"14"
"fecal","MPER",6,2,12.34,0,"41"
"fecal","MPER",6,4,13.85,0,"83"
"fecal","MPER",6,6,16.78,0,"7"
"fecal","MPER",6,8,11.45,0,"62"
"fecal","FliC",1,0,14.77,NA,"253"
"fecal","FliC",1,2,8.03,0,"180"
"fecal","FliC",1,4,13.72,20,"81"
"fecal","FliC",1,6,15.79,40,"144"
"fecal","FliC",1,8,13.72,20,"215"
"fecal","FliC",1,10,12.08,0,"228"
"fecal","FliC",2,0,16.94,NA,"100"
"fecal","FliC",2,2,8.3,0,"92"
"fecal","FliC",2,4,13.66,20,"91"
"fecal","FliC",2,6,17.73,40,"217"
"fecal","FliC",2,8,13.66,0,"247"
"fecal","FliC",2,10,8.46,0,"158"
"fecal","FliC",3,0,16.35,NA,"19"
"fecal","FliC",3,2,3.57,0,"49"
"fecal","FliC",3,4,9,0,"220"
"fecal","FliC",3,6,20.35,0,"30"
"fecal","FliC",3,8,9,0,"70"
"fecal","FliC",3,10,8.2,0,"257"
"fecal","FliC",4,0,13.51,NA,"33"
"fecal","FliC",4,2,12.23,0,"42.2"
"fecal","FliC",4,4,17.05,0,"94"
"fecal","FliC",4,6,15.03,0,"27"
"fecal","FliC",4,8,17.05,0,"95"
"fecal","FliC",4,10,9.69,0,"132"
"fecal","FliC",5,0,15.49,NA,"8"
"fecal","FliC",5,2,12.26,0,"46"
"fecal","FliC",5,6,14.61,0,"11"
"fecal","FliC",5,8,12.35,0,"78"
"fecal","FliC",5,10,14.19,0,"168"
"fecal","FliC",6,0,21.74,NA,"105"
"fecal","FliC",6,2,19.46,NA,"237"
"fecal","FliC",6,4,21.74,NA,"59"
"fecal","FliC",6,6,7.45,NA,"272"
"fecal","FliC",6,8,14.84,NA,"279"
"fecal","FliC",6,10,16.59,NA,"123"
"fecal","IL1b",1,0,6,NA,"248"
"fecal","IL1b",1,2,15.67,10,"277"
"fecal","IL1b",1,4,10.48,10,"166"
"fecal","IL1b",1,6,10.65,80,"225"
"fecal","IL1b",1,8,15.53,40,"260"
"fecal","IL1b",1,10,19.36,80,"106"
"fecal","IL1b",2,0,9.72,NA,"75"
"fecal","IL1b",2,4,14.05,10,"115"
"fecal","IL1b",2,6,20.25,20,"223"
"fecal","IL1b",2,8,16.36,20,"239"
"fecal","IL1b",2,10,7.52,40,"64"
"fecal","IL1b",3,0,13.54,NA,"163"
"fecal","IL1b",3,2,19.86,0,"67"
"fecal","IL1b",3,4,8.85,0,"145"
"fecal","IL1b",3,6,17.27,80,"226"
"fecal","IL1b",3,8,17.41,320,"127"
"fecal","IL1b",3,10,21.7,10,"176"
"fecal","IL1b",4,0,15.62,NA,"25"
"fecal","IL1b",4,2,21.22,0,"43"
"fecal","IL1b",4,4,9.33,0,"252"
"fecal","IL1b",4,6,18.8,0,"21"
"fecal","IL1b",4,8,20.37,0,"149"
"fecal","IL1b",4,10,17.54,0,"71"
"fecal","IL1b",5,0,20.26,NA,"24"
"fecal","IL1b",5,2,18.59,0,"40"
"fecal","IL1b",5,4,18.87,0,"154"
"fecal","IL1b",5,6,21.53,0,"34"
"fecal","IL1b",5,8,23.47,0,"82"
"fecal","IL1b",5,10,11.37,0,"232"
"fecal","IL1b",6,0,17.38,NA,"32"
"fecal","IL1b",6,2,13.4,0,"44"
"fecal","IL1b",6,4,13.99,0,"270"
"fecal","IL1b",6,6,15.73,0,"18"
"fecal","IL1b",6,8,17.35,0,"101"
"fecal","IL1b",6,10,17.2,0,"157"
"fecal","RB",1,-1,NA,NA,"133"
"fecal","RB",1,0,NA,NA,"74"
"fecal","RB",1,2,NA,NA,"61"
"fecal","RB",1,4,NA,NA,"152"
"fecal","RB",1,6,NA,NA,"167"
"fecal","RB",1,8,NA,NA,"222"
"fecal","RB",1,10,NA,NA,"278"
"fecal","RB",1,12,NA,NA,"120"
"fecal","RB",2,-1,NA,NA,"179"
"fecal","RB",2,0,NA,NA,"66"
"fecal","RB",2,2,NA,NA,"147"
"fecal","RB",2,4,NA,NA,"55"
"fecal","RB",2,6,NA,NA,"219"
"fecal","RB",2,8,NA,NA,"63"
"fecal","RB",2,12,NA,NA,"146"
"fecal","RB",3,-1,NA,NA,"233"
"fecal","RB",3,0,NA,NA,"89"
"fecal","RB",3,2,NA,NA,"254"
"fecal","RB",3,4,NA,NA,"162"
"fecal","RB",3,6,NA,NA,"156"
"fecal","RB",3,8,NA,NA,"231"
"fecal","RB",3,10,NA,NA,"96"
"fecal","RB",3,12,NA,NA,"80"
"fecal","RB",4,-1,NA,NA,"79"
"fecal","RB",4,0,NA,NA,"143"
"fecal","RB",4,2,NA,NA,"221"
"fecal","RB",4,4,NA,NA,"244"
"fecal","RB",4,6,NA,NA,"171"
"fecal","RB",4,8,NA,NA,"125"
"fecal","RB",4,10,NA,NA,"73"
"fecal","RB",4,12,NA,NA,"251"
"fecal","RB",5,-1,NA,NA,"238"
"fecal","RB",5,0,NA,NA,"165"
"fecal","RB",5,2,NA,NA,"88"
"fecal","RB",5,4,NA,NA,"102"
"fecal","RB",5,6,NA,NA,"121"
"fecal","RB",5,8,NA,NA,"164"
"fecal","RB",5,10,NA,NA,"174"
"fecal","RB",5,12,NA,NA,"128"
"fecal","NG",1,0,19.56,NA,"271"
"fecal","NG",1,2,15.15,0,"173"
"fecal","NG",1,4,8.3,0,"68"
"fecal","NG",1,6,7.1,0,"227"
"fecal","NG",1,8,9.71,0,"131"
"fecal","NG",1,10,8.1,0,"169"
"fecal","NG",2,2,18.39,0,"108"
"fecal","NG",2,4,13.07,0,"151"
"fecal","NG",2,6,12.7,0,"246"
"fecal","NG",2,8,19.43,0,"84"
"fecal","NG",2,10,19.59,0,"118"
"fecal","NG",3,0,14.27,NA,"216"
"fecal","NG",3,2,11.11,0,"99"
"fecal","NG",3,4,21.31,0,"124"
"fecal","NG",3,6,20.1,0,"160"
"fecal","NG",3,8,14.36,0,"90"
"fecal","NG",3,10,15.24,0,"60"
"fecal","NG",4,0,5.94,NA,"31"
"fecal","NG",4,2,7.05,0,"48"
"fecal","NG",4,4,16.86,0,"107"
"fecal","NG",4,6,13.97,0,"12"
"fecal","NG",4,8,20.3,0,"98"
"fecal","NG",4,10,20.33,0,"155"
"fecal","NG",5,0,18.25,NA,"13"
"fecal","NG",5,2,17.78,0,"53"
"fecal","NG",5,4,20.05,0,"103"
"fecal","NG",5,6,16.69,0,"16"
"fecal","NG",5,8,12.41,0,"170"
"fecal","NG",5,10,15.33,0,"242"
"fecal","NG",6,0,14.66,NA,"17"
"fecal","NG",6,2,16.64,0,"45"
"fecal","NG",6,4,22.15,0,"236"
"fecal","NG",6,6,19.91,0,"9"
"fecal","NG",6,8,20.28,0,"256"
"fecal","NG",6,10,23.31,0,"104"
