"","Otu0001","Otu0002","Otu0003","Otu0004","Otu0005","Otu0006","Otu0007","Otu0008","Otu0009","Otu0010","Otu0011","Otu0012","Otu0013","Otu0014","Otu0015","Otu0016","Otu0017","Otu0018","Otu0019","Otu0020","Otu0021","Otu0022","Otu0023","Otu0024","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0045","Otu0046","Otu0047","Otu0048","Otu0049","Otu0050","Otu0051","Otu0052","Otu0053","Otu0054","Otu0055","Otu0056","Otu0057","Otu0058","Otu0059","Otu0060","Otu0061","Otu0062","Otu0063","Otu0064","Otu0065","Otu0066","Otu0068","Otu0069","Otu0070","Otu0071","Otu0072","Otu0073","Otu0074","Otu0075","Otu0076","Otu0077","Otu0078","Otu0079","Otu0081","Otu0082","Otu0083","Otu0084","Otu0085","Otu0087","Otu0088","Otu0089","Otu0090","Otu0092","Otu0093","Otu0094","Otu0095","Otu0096","Otu0097","Otu0098","Otu0099","Otu0102","Otu0103","Otu0104","Otu0106","Otu0107","Otu0108","Otu0109","Otu0110","Otu0112","Otu0113","Otu0114","Otu0115","Otu0116","Otu0118","Otu0120","Otu0122","Otu0123","Otu0124","Otu0127","Otu0128","Otu0129","Otu0130","Otu0131","Otu0132","Otu0133","Otu0134","Otu0136","Otu0138","Otu0139","Otu0140","Otu0141","Otu0142","Otu0143","Otu0144","Otu0145","Otu0146","Otu0147","Otu0148","Otu0149","Otu0150","Otu0152","Otu0154","Otu0155","Otu0156","Otu0157","Otu0158","Otu0160","Otu0161","Otu0162","Otu0163","Otu0164","Otu0165","Otu0166","Otu0167","Otu0168","Otu0169","Otu0170","Otu0171","Otu0172","Otu0173","Otu0174","Otu0175","Otu0176","Otu0177","Otu0179","Otu0180","Otu0181","Otu0182","Otu0183","Otu0184","Otu0185","Otu0186","Otu0187","Otu0189","Otu0190","Otu0191","Otu0192","Otu0193","Otu0195","Otu0196","Otu0197","Otu0198","Otu0199","Otu0200","Otu0201","Otu0202","Otu0204","Otu0205","Otu0208","Otu0209","Otu0211","Otu0214","Otu0215","Otu0217","Otu0218","Otu0220","Otu0221","Otu0224","Otu0227","Otu0228","Otu0229","Otu0230","Otu0231","Otu0232","Otu0233","Otu0234","Otu0235","Otu0236","Otu0238","Otu0239","Otu0243","Otu0247","Otu0251","Otu0252","Otu0253","Otu0256","Otu0260","Otu0261","Otu0262","Otu0264","Otu0266","Otu0270","Otu0271","Otu0272","Otu0273","Otu0274","Otu0275","Otu0277","Otu0279","Otu0280","Otu0283","Otu0284","Otu0285","Otu0291","Otu0293","Otu0295","Otu0297","Otu0298","Otu0299","Otu0301","Otu0304","Otu0308","Otu0309","Otu0312","Otu0313","Otu0318","Otu0322","Otu0325","Otu0330","Otu0331","Otu0340","Otu0341","Otu0343","Otu0345","Otu0355","Otu0356","Otu0357","Otu0358","Otu0361","Otu0371","Otu0380","Otu0382","Otu0387","Otu0395","Otu0397","Otu0401","Otu0423","Otu0425","Otu0426","Otu0435","Otu0445","Otu0469","Otu0484","Otu0494","Otu0505","Otu0553"
"185",5950,0,2,149,261,367,331,1765,1728,715,0,37,410,971,0,638,0,1386,0,0,3,552,436,425,0,509,38,200,531,0,0,546,0,1,244,1493,203,109,188,175,91,3,207,740,178,1728,202,221,0,0,66,71,0,351,113,116,0,0,475,0,13,426,4,360,304,85,18,99,45,0,178,28,0,0,310,0,0,0,0,76,300,0,67,7,0,0,279,0,49,15,0,0,24,0,101,151,4,141,250,6,0,102,0,72,0,18,51,0,15,13,41,0,0,0,39,0,10,50,45,68,0,0,46,23,44,0,0,2,9,0,11,107,9,10,4,0,0,0,25,67,92,7,2,9,9,0,10,18,96,0,0,9,29,22,6,0,2,0,0,0,0,9,0,5,7,0,11,3,0,7,0,0,9,54,10,9,3,4,0,0,26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,35,9,2,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",4611,0,2,353,11,2,4492,2003,2516,585,2891,30,303,710,197,1161,0,2201,0,0,56,227,197,533,0,533,368,877,795,0,0,475,239,29,108,0,264,448,457,93,379,30,276,110,89,1080,433,88,0,0,179,50,0,0,174,174,0,0,2,0,41,268,0,139,558,126,0,126,517,0,155,14,0,0,307,0,0,20,42,59,264,0,293,0,37,0,444,28,99,32,0,0,28,24,75,559,5,41,140,45,12,195,0,115,0,0,52,0,0,26,55,0,0,0,38,0,21,76,101,22,1,0,62,91,58,4,0,4,22,0,39,66,0,34,0,46,121,31,47,23,5,7,9,0,20,0,156,11,149,0,0,12,38,43,18,0,3,0,0,0,0,26,0,3,0,7,10,19,0,0,3,0,2,54,7,10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,15,1,16,0,3,0,4,23,49,18,0,11,0,0,1,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",6012,2,0,388,0,0,967,2088,2756,0,23,63,181,1063,203,1130,7,1634,0,0,22,96,155,600,0,834,47,234,0,0,0,632,0,2,266,1741,175,138,377,132,183,18,214,729,133,3845,186,355,0,0,34,58,0,450,225,191,0,0,929,0,13,415,17,353,179,102,0,74,38,0,330,13,0,0,361,0,1300,0,18,83,174,0,147,32,48,0,634,0,60,18,0,0,16,16,134,168,6,437,307,29,0,71,0,102,0,31,80,0,0,14,52,0,0,0,40,0,0,75,324,11,0,0,57,52,55,2,0,2,18,0,31,216,20,1,0,0,21,24,31,42,165,4,3,2,70,6,127,28,104,0,0,67,27,30,3,0,6,0,0,0,0,21,0,6,17,1,14,0,12,0,0,0,1,164,5,9,10,1,0,0,6,0,0,0,0,0,0,0,0,0,8,4,0,13,0,0,0,2,10,26,17,0,4,0,0,0,0,0,0,35,0,0,2,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1891,8816,1,493,26,15,1842,1076,620,1915,384,41,79,484,244,587,1021,263,0,0,52,310,226,240,0,306,240,486,353,0,0,234,33,8,119,0,107,86,136,184,209,117,121,84,107,57,222,132,0,0,23,31,0,115,80,98,0,0,674,0,22,75,30,50,199,83,0,51,169,293,143,3,0,0,163,0,0,38,51,102,45,10,146,7,16,0,65,73,78,6,0,0,16,30,12,115,2,15,37,9,4,92,28,41,0,2,20,0,0,11,27,0,0,0,22,5,16,29,18,62,15,0,17,22,18,1,0,0,0,0,30,19,2,17,0,0,46,5,27,52,1,0,21,0,25,0,22,13,35,0,0,6,39,12,7,0,0,0,0,0,0,8,13,8,0,0,5,0,0,0,0,0,1,20,4,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,30,3,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",5961,0,0,1270,54,0,352,845,2333,12,0,0,296,825,446,483,639,516,0,0,139,268,359,374,0,583,5,326,707,0,0,351,0,0,190,2501,46,211,273,60,195,8,199,548,130,2009,203,173,0,0,136,41,0,276,434,104,0,0,910,0,23,305,0,157,662,28,0,15,28,0,180,21,0,0,170,0,309,5,36,66,280,0,25,29,26,0,174,7,70,8,0,0,0,9,51,123,3,20,126,33,0,80,0,26,0,0,43,0,0,2,39,0,0,0,45,10,15,51,93,57,2,0,151,41,65,7,0,0,0,0,48,26,76,19,0,0,5,7,13,26,80,8,16,14,21,0,0,7,104,0,4,1,57,25,5,0,21,0,0,0,1,3,0,1,0,11,22,0,0,0,0,0,1,66,0,7,12,0,0,0,13,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,4,12,5,10,0,0,8,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",1970,13496,0,192,15,0,0,1276,1019,0,0,29,110,237,23,566,775,343,0,0,13,484,91,175,0,477,110,347,8,0,0,273,0,0,84,0,211,33,174,153,166,175,38,57,8,0,230,102,0,0,0,28,0,0,61,90,0,0,0,0,23,12,76,21,120,133,0,32,144,497,117,10,0,0,147,0,0,76,71,48,148,0,128,0,0,0,52,35,17,5,0,0,2,47,7,34,5,10,27,12,0,37,0,38,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,5,0,24,11,0,0,0,0,0,0,28,67,0,39,5,0,20,0,40,46,21,0,7,0,26,0,0,8,7,0,0,0,0,27,6,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",2528,0,8586,899,337,12639,897,1024,2333,1367,0,2273,171,1239,1377,624,0,991,0,0,360,990,1721,2251,0,937,228,659,777,0,0,892,537,0,342,1855,298,765,610,562,418,236,747,86,353,0,476,416,0,0,0,240,0,0,522,257,0,0,0,0,57,479,0,647,89,98,0,95,409,4,141,67,355,443,18,178,57,53,55,156,58,8,62,192,0,146,126,102,140,98,442,0,113,36,162,14,6,124,78,76,0,124,0,256,0,112,99,99,0,191,133,1,0,261,108,104,53,72,12,0,47,17,148,227,11,1,73,7,0,230,83,156,3,56,130,0,66,23,83,58,41,23,30,24,38,12,88,200,48,150,0,0,58,27,34,0,0,4,0,1,1,35,14,14,16,0,64,9,339,15,27,0,22,2,4,0,0,3,547,0,34,15,383,18,8,0,7,0,35,0,1,0,2,30,0,0,47,1,29,0,16,19,0,0,0,6,2,0,3,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",608,0,9529,452,141,431,0,693,497,11,0,645,123,503,730,923,527,105,0,0,1330,1196,761,280,0,185,199,202,439,0,0,499,297,216,285,0,109,105,782,366,661,4,187,50,377,0,366,22,0,0,0,119,0,0,383,95,0,0,0,0,11,251,0,73,192,87,4,49,229,101,72,19,0,0,40,0,0,169,85,87,8,1,59,85,0,0,41,0,12,126,0,0,7,68,22,15,3,13,61,71,37,45,0,38,0,35,40,0,0,0,29,0,0,0,104,6,9,37,68,0,41,0,27,77,0,0,0,12,22,0,0,6,19,131,16,12,58,50,31,11,21,11,16,2,28,11,8,6,48,0,0,0,74,22,11,3,0,0,0,3,8,11,13,10,0,0,7,0,0,0,2,109,2,8,0,0,0,4,0,0,11,0,0,0,0,0,0,0,3,0,0,0,17,19,0,3,0,1,37,0,20,1,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",598,1,10472,377,108,418,0,680,66,115,0,786,129,525,427,680,1402,515,0,0,920,1255,878,441,0,102,408,565,183,0,0,467,666,358,406,0,217,62,364,273,563,36,133,60,228,0,275,3,0,0,0,18,0,0,202,100,0,0,0,0,50,284,0,70,257,218,15,40,152,9,35,19,0,0,100,0,0,103,119,53,279,1,173,98,0,0,73,12,174,128,0,0,4,96,0,176,2,22,40,1,21,43,0,42,0,46,37,0,0,0,41,0,0,0,117,0,17,53,252,0,61,0,26,64,0,0,0,0,71,0,25,2,3,87,9,3,25,77,12,26,2,8,4,20,52,22,0,14,40,0,0,0,60,82,6,0,0,1,0,25,16,6,79,7,30,0,4,0,0,7,0,309,18,2,0,0,0,9,0,0,4,2,0,8,0,0,0,0,1,0,3,0,17,7,0,3,0,0,43,0,22,6,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",2089,0,11314,1792,319,157,0,787,705,0,0,487,119,534,510,491,604,208,0,0,2181,528,500,303,0,268,0,228,633,0,0,394,260,263,535,1477,165,375,872,86,762,55,217,43,444,0,0,30,0,0,30,154,0,0,421,61,0,0,0,0,152,414,0,132,85,39,0,75,90,5,46,76,0,0,21,0,0,32,11,25,33,29,17,261,0,0,204,15,65,92,0,204,16,5,10,4,9,15,37,13,0,13,0,15,12,11,25,0,0,0,24,14,0,0,142,57,1,29,110,0,6,0,138,26,0,30,0,78,82,0,17,10,51,13,0,20,0,61,30,3,82,1,13,11,19,33,13,2,38,0,5,0,31,15,20,0,12,4,0,3,39,0,40,4,40,0,37,4,0,0,0,119,2,8,4,1,0,13,0,0,22,124,0,3,46,0,0,0,4,0,1,0,3,5,0,39,0,0,23,0,15,0,0,0,0,11,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
