trt,mouse,time,anti.MPER,total.iga
LA-MPER,1,0,NA,13.64
LA-MPER,1,2,0,14.91
LA-MPER,1,4,10,8.58
LA-MPER,1,6,10,19.17
LA-MPER,1,8,10,12.7
LA-MPER,1,10,40,14.6
LA-MPER,2,0,NA,18.04
LA-MPER,2,2,0,14.87
LA-MPER,2,4,0,12.29
LA-MPER,2,6,10,20.32
LA-MPER,2,8,20,10.1
LA-MPER,2,10,0,8.79
LA-MPER,3,0,NA,13.58
LA-MPER,3,2,0,5.32
LA-MPER,3,4,0,12.51
LA-MPER,3,6,20,20.43
LA-MPER,3,8,0,18.91
LA-MPER,3,10,0,20.6
LA-MPER,4,0,NA,10.31
LA-MPER,4,2,0,12.31
LA-MPER,4,4,0,7.49
LA-MPER,4,6,0,12.98
LA-MPER,4,8,0,20.51
LA-MPER,4,10,0,11.41
LA-MPER,5,0,NA,11.41
LA-MPER,5,2,0,9.41
LA-MPER,5,4,0,11.34
LA-MPER,5,6,0,18.91
LA-MPER,5,8,0,14.85
LA-MPER,5,10,0,19.64
LA-MPER,6,0,NA,16.95
LA-MPER,6,2,0,12.34
LA-MPER,6,4,0,13.85
LA-MPER,6,6,0,16.78
LA-MPER,6,8,0,11.45
LA-MPER,6,10,0,7
LA-MPER-IL1b,1,0,NA,6
LA-MPER-IL1b,1,2,10,15.67
LA-MPER-IL1b,1,4,10,10.48
LA-MPER-IL1b,1,6,80,10.65
LA-MPER-IL1b,1,8,40,15.53
LA-MPER-IL1b,1,10,80,19.36
LA-MPER-IL1b,2,0,NA,9.72
LA-MPER-IL1b,2,2,0,13.03
LA-MPER-IL1b,2,4,10,14.05
LA-MPER-IL1b,2,6,20,20.25
LA-MPER-IL1b,2,8,20,16.36
LA-MPER-IL1b,2,10,40,7.52
LA-MPER-IL1b,3,0,NA,13.54
LA-MPER-IL1b,3,2,0,19.86
LA-MPER-IL1b,3,4,0,8.85
LA-MPER-IL1b,3,6,80,17.27
LA-MPER-IL1b,3,8,320,17.41
LA-MPER-IL1b,3,10,10,21.7
LA-MPER-IL1b,4,0,NA,15.62
LA-MPER-IL1b,4,2,0,21.22
LA-MPER-IL1b,4,4,0,9.33
LA-MPER-IL1b,4,6,0,18.8
LA-MPER-IL1b,4,8,0,20.37
LA-MPER-IL1b,4,10,0,17.54
LA-MPER-IL1b,5,0,NA,20.26
LA-MPER-IL1b,5,2,0,18.59
LA-MPER-IL1b,5,4,0,18.87
LA-MPER-IL1b,5,6,0,21.53
LA-MPER-IL1b,5,8,0,23.47
LA-MPER-IL1b,5,10,0,11.37
LA-MPER-IL1b,6,0,NA,17.38
LA-MPER-IL1b,6,2,0,13.4
LA-MPER-IL1b,6,4,0,13.99
LA-MPER-IL1b,6,6,0,15.73
LA-MPER-IL1b,6,8,0,17.35
LA-MPER-IL1b,6,10,0,17.2
LA-MPER-FliC,1,0,NA,14.77
LA-MPER-FliC,1,2,0,8.03
LA-MPER-FliC,1,4,20,13.72
LA-MPER-FliC,1,6,40,15.79
LA-MPER-FliC,1,8,20,13.72
LA-MPER-FliC,1,10,0,12.08
LA-MPER-FliC,2,0,NA,16.94
LA-MPER-FliC,2,2,0,8.3
LA-MPER-FliC,2,4,20,13.66
LA-MPER-FliC,2,6,40,17.73
LA-MPER-FliC,2,8,0,13.66
LA-MPER-FliC,2,10,0,8.46
LA-MPER-FliC,3,0,NA,10.38
LA-MPER-FliC,3,2,0,4.82
LA-MPER-FliC,3,4,0,
LA-MPER-FliC,3,6,0,
LA-MPER-FliC,3,8,0,
LA-MPER-FliC,3,10,0,
LA-MPER-FliC,4,0,,16.35
LA-MPER-FliC,4,2,0,3.57
LA-MPER-FliC,4,4,0,9
LA-MPER-FliC,4,6,0,20.35
LA-MPER-FliC,4,8,0,9
LA-MPER-FliC,4,10,0,8.2
LA-MPER-FliC,5,0,NA,13.51
LA-MPER-FliC,5,2,0,12.23
LA-MPER-FliC,5,4,0,17.05
LA-MPER-FliC,5,6,0,15.03
LA-MPER-FliC,5,8,0,17.05
LA-MPER-FliC,5,10,0,9.69
LA-MPER-FliC,6,0,NA,15.49
LA-MPER-FliC,6,2,0,12.26
LA-MPER-FliC,6,4,0,12.35
LA-MPER-FliC,6,6,0,14.61
LA-MPER-FliC,6,8,0,12.35
LA-MPER-FliC,6,10,0,14.19
LA-MPER-FliC,7,0,NA,21.74
LA-MPER-FliC,7,2,NA,19.46
LA-MPER-FliC,7,4,NA,21.74
LA-MPER-FliC,7,6,NA,7.45
LA-MPER-FliC,7,8,NA,14.84
LA-MPER-FliC,7,10,NA,16.59
LA-170,1,0,NA,5.95
LA-170,1,2,0,11.04
LA-170,1,4,10,17.05
LA-170,1,6,0,17.52
LA-170,1,8,0,21.11
LA-170,1,10,0,13.17
LA-170,2,0,NA,12.68
LA-170,2,2,0,16
LA-170,2,4,0,17.59
LA-170,2,6,0,15.31
LA-170,2,8,0,19.29
LA-170,2,10,0,19.31
LA-170,3,0,NA,9.32
LA-170,3,2,0,8.71
LA-170,3,4,0,12.85
LA-170,3,6,0,19.85
LA-170,3,8,0,11.02
LA-170,3,10,0,14.58
LA-170,4,0,NA,10.74
LA-170,4,2,0,15.34
LA-170,4,4,0,6.8
LA-170,4,6,0,18.21
LA-170,4,8,0,13
LA-170,4,10,0,1.74
LA-170,5,0,NA,5.9
LA-170,5,2,0,14.62
LA-170,5,4,0,17.63
LA-170,5,6,0,12.32
LA-170,5,8,0,13.28
LA-170,5,10,0,17.61
LA-170,6,0,NA,5.39
LA-170,6,2,0,7.89
LA-170,6,4,0,14.35
LA-170,6,6,0,14.18
LA-170,6,8,0,18.63
LA-170,6,10,0,4.56
STI-buffer,1,0,NA,19.56
STI-buffer,1,2,0,15.15
STI-buffer,1,4,0,8.3
STI-buffer,1,6,0,7.1
STI-buffer,1,8,0,9.71
STI-buffer,1,10,0,8.1
STI-buffer,2,0,NA,19.95
STI-buffer,2,2,0,18.39
STI-buffer,2,4,0,13.07
STI-buffer,2,6,0,12.7
STI-buffer,2,8,0,19.43
STI-buffer,2,10,0,19.59
STI-buffer,3,0,NA,14.27
STI-buffer,3,2,0,11.11
STI-buffer,3,4,0,21.31
STI-buffer,3,6,0,20.1
STI-buffer,3,8,0,14.36
STI-buffer,3,10,0,15.24
STI-buffer,4,0,NA,5.94
STI-buffer,4,2,0,7.05
STI-buffer,4,4,0,16.86
STI-buffer,4,6,0,13.97
STI-buffer,4,8,0,20.3
STI-buffer,4,10,0,20.33
STI-buffer,5,0,NA,18.25
STI-buffer,5,2,0,17.78
STI-buffer,5,4,0,20.05
STI-buffer,5,6,0,16.69
STI-buffer,5,8,0,12.41
STI-buffer,5,10,0,15.33
STI-buffer,6,0,NA,14.66
STI-buffer,6,2,0,16.64
STI-buffer,6,4,0,22.15
STI-buffer,6,6,0,19.91
STI-buffer,6,8,0,20.28
STI-buffer,6,10,0,23.31
